#{"t_start": 1784182486.7544653, "env_id": "CartPole-v1"}
r,l,t
30.0,30,10.648844
15.0,15,10.648844
59.0,59,10.664466
20.0,20,10.664466
26.0,26,10.664466
38.0,38,10.664466
12.0,12,10.664466
19.0,19,10.664466
21.0,21,10.680089
13.0,13,10.680089
37.0,37,10.994348
15.0,15,10.994348
14.0,14,10.994348
20.0,20,10.994348
15.0,15,11.011019
35.0,35,11.011019
18.0,18,11.011019
14.0,14,11.011019
35.0,35,11.011019
18.0,18,11.011019
13.0,13,11.011019
23.0,23,11.026031
16.0,16,11.026031
27.0,27,11.453419
15.0,15,11.469054
16.0,16,11.469054
20.0,20,11.469054
9.0,9,11.469054
19.0,19,11.484879
8.0,8,11.484879
30.0,30,11.500562
15.0,15,11.501328
20.0,20,11.501328
12.0,12,11.501328
17.0,17,11.501328
14.0,14,11.516345
27.0,27,11.516345
13.0,13,11.876817
30.0,30,11.876817
15.0,15,11.876817
21.0,21,11.876817
21.0,21,11.876817
23.0,23,11.892439
20.0,20,11.892439
29.0,29,11.892439
13.0,13,11.892439
17.0,17,11.892439
23.0,23,11.892439
32.0,32,11.908415
14.0,14,12.381222
29.0,29,12.396846
11.0,11,12.396846
19.0,19,12.396846
31.0,31,12.396846
13.0,13,12.396846
18.0,18,12.396846
14.0,14,12.412673
15.0,15,12.412673
19.0,19,12.412673
46.0,46,12.412673
13.0,13,12.412673
21.0,21,12.412673
40.0,40,12.757846
28.0,28,12.757846
27.0,27,12.757846
10.0,10,12.757846
10.0,10,12.757846
30.0,30,12.757846
15.0,15,12.757846
23.0,23,12.757846
17.0,17,12.773466
19.0,19,12.773466
29.0,29,12.773466
25.0,25,13.088013
37.0,37,13.088013
12.0,12,13.088013
38.0,38,13.103637
15.0,15,13.103637
10.0,10,13.103637
44.0,44,13.103637
26.0,26,13.11926
13.0,13,13.11926
12.0,12,13.11926
10.0,10,13.11926
11.0,11,13.11926
23.0,23,13.528898
28.0,28,13.528898
22.0,22,13.528898
21.0,21,13.544795
22.0,22,13.544795
9.0,9,13.544795
14.0,14,13.544795
10.0,10,13.544795
16.0,16,13.544795
24.0,24,13.544795
31.0,31,13.544795
13.0,13,13.544795
